 19-May-2006       (cal_033.dat - 1.000 *Avrag08.dat) /  5.0530               
cal_033.dat   Conc = .51E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag08.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.105882E+01  0.279687E+02  0.165286E+00
  0.106110E+01  0.278797E+02  0.164564E+00
  0.106339E+01  0.277146E+02  0.165018E+00
  0.106567E+01  0.275767E+02  0.163927E+00
  0.106796E+01  0.272236E+02  0.164579E+00
  0.107024E+01  0.275862E+02  0.162806E+00
  0.107253E+01  0.270956E+02  0.163269E+00
  0.107481E+01  0.268015E+02  0.163189E+00
  0.107709E+01  0.270036E+02  0.162928E+00
  0.107938E+01  0.268516E+02  0.163482E+00
  0.108166E+01  0.266357E+02  0.161123E+00
  0.108395E+01  0.261358E+02  0.162161E+00
  0.108623E+01  0.258165E+02  0.161454E+00
  0.108852E+01  0.257774E+02  0.161203E+00
  0.109080E+01  0.256434E+02  0.161704E+00
  0.109309E+01  0.261447E+02  0.160333E+00
  0.109537E+01  0.258296E+02  0.161088E+00
  0.109766E+01  0.254752E+02  0.160137E+00
  0.109994E+01  0.251055E+02  0.159752E+00
  0.110222E+01  0.250491E+02  0.160106E+00
  0.110451E+01  0.252612E+02  0.158761E+00
  0.110679E+01  0.250493E+02  0.160378E+00
  0.110908E+01  0.245614E+02  0.157747E+00
  0.111136E+01  0.244475E+02  0.158954E+00
  0.111365E+01  0.240740E+02  0.158058E+00
  0.111593E+01  0.241203E+02  0.157589E+00
  0.111822E+01  0.240493E+02  0.158584E+00
  0.112050E+01  0.235688E+02  0.156777E+00
  0.112279E+01  0.235379E+02  0.157196E+00
  0.112507E+01  0.234835E+02  0.156516E+00
  0.112735E+01  0.237880E+02  0.156876E+00
  0.112964E+01  0.233103E+02  0.156839E+00
  0.113192E+01  0.230520E+02  0.155414E+00
  0.113421E+01  0.228359E+02  0.156590E+00
  0.113649E+01  0.224237E+02  0.154820E+00
  0.113878E+01  0.225607E+02  0.154958E+00
  0.114106E+01  0.223988E+02  0.155295E+00
  0.114335E+01  0.220477E+02  0.154095E+00
  0.114563E+01  0.220485E+02  0.155135E+00
  0.114792E+01  0.220960E+02  0.153941E+00
  0.115020E+01  0.223535E+02  0.154212E+00
  0.115249E+01  0.218437E+02  0.153883E+00
  0.115477E+01  0.218294E+02  0.153749E+00
  0.115705E+01  0.220344E+02  0.153637E+00
  0.115934E+01  0.217892E+02  0.152628E+00
  0.116162E+01  0.215426E+02  0.153485E+00
  0.116391E+01  0.212345E+02  0.152449E+00
  0.116619E+01  0.208444E+02  0.152850E+00
  0.116848E+01  0.210396E+02  0.151344E+00
  0.117076E+01  0.206319E+02  0.151759E+00
  0.117305E+01  0.205132E+02  0.152270E+00
  0.117533E+01  0.202917E+02  0.150924E+00
  0.117762E+01  0.201348E+02  0.151716E+00
  0.117990E+01  0.199616E+02  0.150442E+00
  0.118218E+01  0.197817E+02  0.150056E+00
  0.118447E+01  0.196788E+02  0.150784E+00
  0.118675E+01  0.195820E+02  0.149428E+00
  0.118904E+01  0.192794E+02  0.150464E+00
  0.119132E+01  0.196663E+02  0.149229E+00
  0.119361E+01  0.194249E+02  0.149563E+00
  0.119589E+01  0.192005E+02  0.149430E+00
  0.119818E+01  0.189596E+02  0.148170E+00
  0.120046E+01  0.187425E+02  0.149420E+00
  0.120275E+01  0.184807E+02  0.147816E+00
  0.120503E+01  0.182672E+02  0.148619E+00
  0.120731E+01  0.185516E+02  0.147713E+00
  0.120960E+01  0.184550E+02  0.147263E+00
  0.121188E+01  0.185573E+02  0.148187E+00
  0.121417E+01  0.182062E+02  0.147213E+00
  0.121645E+01  0.183564E+02  0.147665E+00
  0.121874E+01  0.180544E+02  0.146978E+00
  0.122102E+01  0.178672E+02  0.146189E+00
  0.122331E+01  0.177977E+02  0.146922E+00
  0.122559E+01  0.175735E+02  0.145566E+00
  0.122788E+01  0.177132E+02  0.146927E+00
  0.123016E+01  0.177855E+02  0.145209E+00
  0.123244E+01  0.175872E+02  0.145845E+00
  0.123473E+01  0.175047E+02  0.145593E+00
  0.123701E+01  0.170051E+02  0.144612E+00
  0.123930E+01  0.165909E+02  0.145484E+00
  0.124158E+01  0.166612E+02  0.144622E+00
  0.124387E+01  0.164872E+02  0.144829E+00
  0.124615E+01  0.167008E+02  0.144232E+00
  0.124844E+01  0.167550E+02  0.144524E+00
  0.125072E+01  0.164821E+02  0.144082E+00
  0.125301E+01  0.158953E+02  0.143200E+00
  0.125529E+01  0.161284E+02  0.144014E+00
  0.125757E+01  0.157035E+02  0.142981E+00
  0.125986E+01  0.159175E+02  0.143438E+00
  0.126214E+01  0.162125E+02  0.143648E+00
  0.126443E+01  0.156936E+02  0.142001E+00
